Name	NOC	City	Year	Sport	Event	Medal
Pavel Konstantinovich Kolchin	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Bronze
Pavel Konstantinovich Kolchin	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Pavel Konstantinovich Kolchin	URS	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Alevtina Pavlovna Kolchina (Leontyeva-)	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Alevtina Pavlovna Kolchina (Leontyeva-)	URS	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Bronze
Alevtina Pavlovna Kolchina (Leontyeva-)	URS	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Gold
Alevtina Pavlovna Kolchina (Leontyeva-)	URS	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Bronze
Alevtina Pavlovna Kolchina (Leontyeva-)	URS	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Bronze
Eero Johannes Kolehmainen	FIN	Oslo	1952	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Silver
Albertina Iosifovna ""Berta"" Kolokoltseva (Zlobina-)	URS	Innsbruck	1964	Speed Skating	Speed Skating Women's 1,500 metres	Bronze
Leonid ""Leo"" Komarov	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Yury Georgiyevich Kondakov	URS	Innsbruck	1976	Speed Skating	Speed Skating Men's 1,500 metres	Silver
Akitsugu Konno	JPN	Sapporo	1972	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Takanori Kono	JPN	Albertville	1992	Nordic Combined	Nordic Combined Men's Team	Gold
Takanori Kono	JPN	Lillehammer	1994	Nordic Combined	Nordic Combined Men's Team	Gold
Takanori Kono	JPN	Lillehammer	1994	Nordic Combined	Nordic Combined Men's Individual	Silver
Stanislav Konopsek	TCH	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Viktor Sergeyevich Konovalenko	URS	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Viktor Sergeyevich Konovalenko	URS	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Petri Kontiola	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Christopher ""Chris"" Kontos	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Ursula Konzett (-Gregg)	LIE	Sarajevo	1984	Alpine Skiing	Alpine Skiing Women's Slalom	Bronze
Ernst Kpf, Sr.	FRG	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Jamie A. Korab	CAN	Torino	2006	Curling	Curling Men's Curling	Gold
Jaroslav Korbela	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Katja Koren	SLO	Lillehammer	1994	Alpine Skiing	Alpine Skiing Women's Slalom	Bronze
Werner Korff	GER	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Urpo Pentti Korhonen	FIN	Oslo	1952	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Nataliya Sergeyevna Korostelyova (Morilova-)	RUS	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Bronze
Lauri Korpikoski	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Lisbeth Korsmo-Berg	NOR	Innsbruck	1976	Speed Skating	Speed Skating Women's 3,000 metres	Bronze
Jorma Aksel Kortelainen	FIN	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Vclav Korunka	TCH	Calgary	1988	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Horst Koschka	GDR	Sapporo	1972	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Viktor Ivanovich Kosichkin	URS	Squaw Valley	1960	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Viktor Ivanovich Kosichkin	URS	Squaw Valley	1960	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Jure Koir	SLO	Lillehammer	1994	Alpine Skiing	Alpine Skiing Men's Slalom	Bronze
an Koir	SLO	Sochi	2014	Snowboarding	Snowboarding Men's Parallel Giant Slalom	Bronze
an Koir	SLO	Sochi	2014	Snowboarding	Snowboarding Men's Parallel Slalom	Silver
Markku Olavi Koski	FIN	Torino	2006	Snowboarding	Snowboarding Men's Halfpipe	Bronze
Johann Olav Koss	NOR	Albertville	1992	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Johann Olav Koss	NOR	Albertville	1992	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Johann Olav Koss	NOR	Lillehammer	1994	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Johann Olav Koss	NOR	Lillehammer	1994	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Johann Olav Koss	NOR	Lillehammer	1994	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Ivica Kosteli	CRO	Torino	2006	Alpine Skiing	Alpine Skiing Men's Combined	Silver
Ivica Kosteli	CRO	Vancouver	2010	Alpine Skiing	Alpine Skiing Men's Slalom	Silver
Ivica Kosteli	CRO	Vancouver	2010	Alpine Skiing	Alpine Skiing Men's Combined	Silver
Ivica Kosteli	CRO	Sochi	2014	Alpine Skiing	Alpine Skiing Men's Combined	Silver
Janica Kosteli	CRO	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Women's Super G	Silver
Janica Kosteli	CRO	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Gold
Janica Kosteli	CRO	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Women's Slalom	Gold
Janica Kosteli	CRO	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Women's Combined	Gold
Janica Kosteli	CRO	Torino	2006	Alpine Skiing	Alpine Skiing Women's Super G	Silver
Janica Kosteli	CRO	Torino	2006	Alpine Skiing	Alpine Skiing Women's Combined	Gold
Carolina Kostner	ITA	Sochi	2014	Figure Skating	Figure Skating Women's Singles	Bronze
Isolde Kostner (-Perathoner)	ITA	Lillehammer	1994	Alpine Skiing	Alpine Skiing Women's Downhill	Bronze
Isolde Kostner (-Perathoner)	ITA	Lillehammer	1994	Alpine Skiing	Alpine Skiing Women's Super G	Bronze
Isolde Kostner (-Perathoner)	ITA	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Women's Downhill	Silver
Roman Sergeyevich Kostomarov	RUS	Torino	2006	Figure Skating	Figure Skating Mixed Ice Dancing	Gold
Ale Kotalk	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Sage Kotsenburg	USA	Sochi	2014	Snowboarding	Snowboarding Men's Slopestyle	Gold
Martin Koukal	CZE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Ilya Valeryevich Kovalchuk	RUS	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Andrey Nikolayevich Kovalenko	EUN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Andrey Nikolayevich Kovalenko	RUS	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Aleksey Vyacheslavovich Kovalyov	EUN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Aleksey Vyacheslavovich Kovalyov	RUS	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Vladimir Nikolayevich Kovalyov	URS	Innsbruck	1976	Figure Skating	Figure Skating Men's Singles	Silver
Vladimir Aleksandrovich Kovin	URS	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Justyna Kowalczyk	POL	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Bronze
Justyna Kowalczyk	POL	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's Sprint	Silver
Justyna Kowalczyk	POL	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	Gold
Justyna Kowalczyk	POL	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 15 km Skiathlon	Bronze
Justyna Kowalczyk	POL	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Gold
Adolf Koxeder	AUT	Innsbruck	1964	Bobsleigh	Bobsleigh Men's Four	Silver
Aleksandr Viktorovich Kozhevnikov	URS	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Aleksandr Viktorovich Kozhevnikov	URS	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Yelizaveta Aleksandrovna Kozhevnikova	EUN	Albertville	1992	Freestyle Skiing	Freestyle Skiing Women's Moguls	Silver
Yelizaveta Aleksandrovna Kozhevnikova	RUS	Lillehammer	1994	Freestyle Skiing	Freestyle Skiing Women's Moguls	Bronze
Vladimir Yevgenyevich Kozlov	URS	Calgary	1988	Bobsleigh	Bobsleigh Men's Two	Gold
Vladimir Yevgenyevich Kozlov	URS	Calgary	1988	Bobsleigh	Bobsleigh Men's Four	Bronze
Lyubov Vladimirovna Kozyreva-Baranova (-Vatina)	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Gold
Lyubov Vladimirovna Kozyreva-Baranova (-Vatina)	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Lyubov Vladimirovna Kozyreva-Baranova (-Vatina)	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Silver
Lyubov Vladimirovna Kozyreva-Baranova (-Vatina)	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Friedrich Hermann Heinrich ""Fritz"" Kraatz	SUI	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Krlk	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Sven Kramer	NED	Torino	2006	Speed Skating	Speed Skating Men's 5,000 metres	Silver
Sven Kramer	NED	Torino	2006	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Bronze
Sven Kramer	NED	Vancouver	2010	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Sven Kramer	NED	Vancouver	2010	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Bronze
Sven Kramer	NED	Sochi	2014	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Sven Kramer	NED	Sochi	2014	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Sven Kramer	NED	Sochi	2014	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Gold
Robert Kranjec	SLO	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Vera Ivanovna Krasnova	URS	Sapporo	1972	Speed Skating	Speed Skating Women's 500 metres	Silver
Pontus Sebastian Kraupp	SWE	Sochi	2014	Curling	Curling Men's Curling	Bronze
Alanna Kraus (-Handley)	CAN	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Bronze
Alanna Kraus (-Handley)	CAN	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Silver
Marinus Kraus	GER	Sochi	2014	Ski Jumping	Ski Jumping Men's Large Hill, Team	Gold
Sigrun Krause (-Filbrich)	GDR	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Stefan Kraue	GDR	Calgary	1988	Luge	Luge Mixed (Men)'s Doubles	Silver
Stefan Kraue	GER	Albertville	1992	Luge	Luge Mixed (Men)'s Doubles	Gold
Stefan Kraue	GER	Lillehammer	1994	Luge	Luge Mixed (Men)'s Doubles	Bronze
Stefan Kraue	GER	Nagano	1998	Luge	Luge Mixed (Men)'s Doubles	Gold
Silke Kraushaar (-Pielach)	GER	Nagano	1998	Luge	Luge Women's Singles	Gold
Silke Kraushaar (-Pielach)	GER	Salt Lake City	2002	Luge	Luge Women's Singles	Bronze
Silke Kraushaar (-Pielach)	GER	Torino	2006	Luge	Luge Women's Singles	Silver
Igor Aleksandrovich Kravchuk	URS	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Igor Aleksandrovich Kravchuk	EUN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Igor Aleksandrovich Kravchuk	RUS	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Igor Aleksandrovich Kravchuk	RUS	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
David Kreiner	AUT	Vancouver	2010	Nordic Combined	Nordic Combined Men's Team	Gold
Kathy Kreiner (-Phillips)	CAN	Innsbruck	1976	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Gold
Marion Kreiner	AUT	Vancouver	2010	Snowboarding	Snowboarding Women's Parallel Giant Slalom	Bronze
Stefan Kreiner	AUT	Albertville	1992	Nordic Combined	Nordic Combined Men's Team	Bronze
Valentin Krempl	GER	Sankt Moritz	1928	Bobsleigh	Bobsleigh Men's Four/Five	Bronze
Henrik Kristoffersen	NOR	Sochi	2014	Alpine Skiing	Alpine Skiing Men's Slalom	Bronze
Sergey Vladimirovich Krivokrasov	RUS	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Georg Philip Herzberg Krog	NOR	Garmisch-Partenkirchen	1936	Speed Skating	Speed Skating Men's 500 metres	Silver
Magnus Krog	NOR	Sochi	2014	Nordic Combined	Nordic Combined Men's Normal Hill / 10 km, Individual	Bronze
Magnus Krog	NOR	Sochi	2014	Nordic Combined	Nordic Combined Men's Team	Gold
Petra Kronberger	AUT	Albertville	1992	Alpine Skiing	Alpine Skiing Women's Slalom	Gold
Petra Kronberger	AUT	Albertville	1992	Alpine Skiing	Alpine Skiing Women's Combined	Gold
Carl August Verner Kronlund	SWE	Chamonix	1924	Curling	Curling Men's Curling	Silver
Hans Niklas Kronwall	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Hans Niklas Kronwall	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Sari Kristiina Krooks (-Newcomb)	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Marcus Viktor Krger	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Nikolay Nikolayevich Kruglov	RUS	Torino	2006	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Nikolay Konstantinovich Kruglov	URS	Innsbruck	1976	Biathlon	Biathlon Men's 20 kilometres	Gold
Nikolay Konstantinovich Kruglov	URS	Innsbruck	1976	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Vladimir Yevgenyevich Krutov	URS	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Vladimir Yevgenyevich Krutov	URS	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Vladimir Yevgenyevich Krutov	URS	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Yury Nikolayevich Krylov	URS	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Anzhelika Alekseyevna Krylova	RUS	Nagano	1998	Figure Skating	Figure Skating Mixed Ice Dancing	Silver
Nikita Valeryevich Kryukov	RUS	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's Sprint	Gold
Nikita Valeryevich Kryukov	RUS	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's Team Sprint	Silver
Filip Kuba	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Pavel Kubina	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Frantiek Kuera	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Alfred Iosifovich Kuchevsky	URS	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Alfred Iosifovich Kuchevsky	URS	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Jonathan Kuck	USA	Vancouver	2010	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Silver
Axel Khn	GER	Albertville	1992	Bobsleigh	Bobsleigh Men's Four	Silver
Enrico Khn	GER	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Four	Gold
Friedrich ""Fritz"" Kuhn	GER	Oslo	1952	Bobsleigh	Bobsleigh Men's Four	Gold
Erich Khnhackl	FRG	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Simon Petrus Kuipers	NED	Vancouver	2010	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Bronze
Antti Sakari Kuisma	FIN	Torino	2006	Nordic Combined	Nordic Combined Men's Team	Bronze
Virpi Katriina Kuitunen (-Sarasvuo)	FIN	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Bronze
Virpi Katriina Kuitunen (-Sarasvuo)	FIN	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Lasse Juhani Kukkonen	FIN	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Lasse Juhani Kukkonen	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Lasse Juhani Kukkonen	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Galina Alekseyevna Kukleva	RUS	Nagano	1998	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Gold
Galina Alekseyevna Kukleva	RUS	Nagano	1998	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Silver
Galina Alekseyevna Kukleva	RUS	Salt Lake City	2002	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Bronze
Galina Alekseyevna Kulakova	URS	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Silver
Galina Alekseyevna Kulakova	URS	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Bronze
Galina Alekseyevna Kulakova	URS	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Gold
Galina Alekseyevna Kulakova	URS	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Gold
Galina Alekseyevna Kulakova	URS	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Gold
Galina Alekseyevna Kulakova	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Bronze
Galina Alekseyevna Kulakova	URS	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Galina Alekseyevna Kulakova	URS	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Ilya Aleksandrovich Kulik	RUS	Nagano	1998	Figure Skating	Figure Skating Men's Singles	Gold
Yevgeny Nikolayevich Kulikov	URS	Innsbruck	1976	Speed Skating	Speed Skating Men's 500 metres	Gold
Yevgeny Nikolayevich Kulikov	URS	Lake Placid	1980	Speed Skating	Speed Skating Men's 500 metres	Silver
Patrizia Kummer	SUI	Sochi	2014	Snowboarding	Snowboarding Women's Parallel Giant Slalom	Gold
Christopher ""Chris"" Kunitz	CAN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Andreas Kunz	GDR	Grenoble	1968	Nordic Combined	Nordic Combined Men's Individual	Bronze
Claudia Knzel-Nystad	GER	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Claudia Knzel-Nystad	GER	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's Sprint	Silver
Claudia Knzel-Nystad	GER	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Claudia Knzel-Nystad	GER	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Claudia Knzel-Nystad	GER	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Gold
Claudia Knzel-Nystad	GER	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Larisa Nikolayevna Kurkina	RUS	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Akira Kuroiwa	JPN	Calgary	1988	Speed Skating	Speed Skating Men's 500 metres	Bronze
Toshiyuki Kuroiwa	JPN	Albertville	1992	Speed Skating	Speed Skating Men's 500 metres	Silver
Jari Pekka Kurri	FIN	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Anton Sergeyevich Kushnir	BLR	Sochi	2014	Freestyle Skiing	Freestyle Skiing Men's Aerials	Gold
Kevin Kuske	GER	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Four	Gold
Kevin Kuske	GER	Torino	2006	Bobsleigh	Bobsleigh Men's Two	Gold
Kevin Kuske	GER	Torino	2006	Bobsleigh	Bobsleigh Men's Four	Gold
Kevin Kuske	GER	Vancouver	2010	Bobsleigh	Bobsleigh Men's Two	Gold
Kevin Kuske	GER	Vancouver	2010	Bobsleigh	Bobsleigh Men's Four	Silver
Heinz Ernst Kuttin	AUT	Albertville	1992	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Bronze
Heinz Ernst Kuttin	AUT	Albertville	1992	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Heinz Ernst Kuttin	AUT	Lillehammer	1994	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Mika Juhani Kuusisto	FIN	Albertville	1992	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Valentin Yegorovich Kuzin	URS	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Vladimir Semyonovich Kuzin	URS	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Viktor Grigoryevich Kuzkin	URS	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Viktor Grigoryevich Kuzkin	URS	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Viktor Grigoryevich Kuzkin	URS	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Anastasia Vladimirovna Kuzmina (Shipulina-)	SVK	Vancouver	2010	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Gold
Anastasia Vladimirovna Kuzmina (Shipulina-)	SVK	Vancouver	2010	Biathlon	Biathlon Women's 10 kilometres Pursuit	Silver
Anastasia Vladimirovna Kuzmina (Shipulina-)	SVK	Sochi	2014	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Gold
Aleksey Ivanovich Kuznetsov	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Eirik Kvalfoss	NOR	Sarajevo	1984	Biathlon	Biathlon Men's 10 kilometres Sprint	Gold
Eirik Kvalfoss	NOR	Sarajevo	1984	Biathlon	Biathlon Men's 20 kilometres	Bronze
Eirik Kvalfoss	NOR	Sarajevo	1984	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Oleg Vladimirovich Kvasha	RUS	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Michelle Wingshan Kwan (-Pell)	USA	Nagano	1998	Figure Skating	Figure Skating Women's Singles	Silver
Michelle Wingshan Kwan (-Pell)	USA	Salt Lake City	2002	Figure Skating	Figure Skating Women's Singles	Bronze
Vladimr Khos	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Anne Maria Kyllnen	FIN	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Risto Juhani Laakkonen	FIN	Albertville	1992	Ski Jumping	Ski Jumping Men's Large Hill, Team	Gold
Antti Akseli Laaksonen	FIN	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Emma Kriistina Laaksonen-Terho	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Emma Kriistina Laaksonen-Terho	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Philip William ""Phil"" LaBatte	USA	Garmisch-Partenkirchen	1936	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Charline ""Charlie"" Labont	CAN	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Charline ""Charlie"" Labont	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Charline ""Charlie"" Labont	CAN	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Mark Andrew Lackie	CAN	Albertville	1992	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Alphonse Albert LaCroix	USA	Chamonix	1924	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Lo Jean Fernand Lacroix	FRA	Innsbruck	1964	Alpine Skiing	Alpine Skiing Men's Downhill	Silver
Scotty Lago	USA	Vancouver	2010	Snowboarding	Snowboarding Men's Halfpipe	Bronze
Matti Ensio Lhde	FIN	Garmisch-Partenkirchen	1936	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Krista Lhteenmki (-Prmkoski)	FIN	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Janne Petteri Lahtela	FIN	Nagano	1998	Freestyle Skiing	Freestyle Skiing Men's Moguls	Silver
Janne Petteri Lahtela	FIN	Salt Lake City	2002	Freestyle Skiing	Freestyle Skiing Men's Moguls	Gold
Erkki Juhani Laine	FIN	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Kari Juhani Laitinen	FIN	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Mika Antero Laitinen	FIN	Albertville	1992	Ski Jumping	Ski Jumping Men's Large Hill, Team	Gold
Samppa Kalevi Lajunen	FIN	Nagano	1998	Nordic Combined	Nordic Combined Men's Team	Silver
Samppa Kalevi Lajunen	FIN	Nagano	1998	Nordic Combined	Nordic Combined Men's Individual	Silver
Samppa Kalevi Lajunen	FIN	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Team	Gold
Samppa Kalevi Lajunen	FIN	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Individual	Gold
Samppa Kalevi Lajunen	FIN	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Sprint	Gold
Ji Lla	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Kim Lamarre	CAN	Sochi	2014	Freestyle Skiing	Freestyle Skiing Women's Slopestyle	Bronze
Nathalie Brigitte Lambert	CAN	Albertville	1992	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Gold
